Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intesity (dB)
346.24;137.4;0.693333;95.339;61.7
346.9333333;138.1;0.736;86.5385;58.6
347.6693333;138.2;0.608;81.5217;68.6
348.2773333;138.3;0.527552;98.6842;61.7
348.8048854;138.4;0.528448;113.733;70.3
349.3333333;139.1;0.572323;113.54;72.6
349.9056563;139.2;0.526906;104.836;65.8
350.4325625;139.3;0.458104;113.872;71.2
350.8906667;139.4;0.548937;130.975;71
351.4396042;140.1;0.545302;109.302;71
351.9849063;140.2;0.687094;110.031;70.6
352.672;140.3;0.586667;87.3243;65.6
353.2586667;140.4;1.00267;102.273;73
354.2613333;141.1;0.746667;59.8404;65.8
355.008;141.2;0.661333;80.3571;67.4
355.6693333;141.3;0.576;90.7258;68.7
356.2453333;141.4;0.565333;104.167;66.9
356.8106667;142.1;0.552281;106.132;61
357.3629479;142.2;0.631719;108.64;65.7
357.9946667;142.3;0.576;94.979;68.4
358.5706667;142.4;0.650667;104.167;65.3
359.2213333;143.1;0.597333;92.2131;62.4
359.8186667;143.2;0.586667;100.446;69.2
360.4053333;143.3;0.618667;102.273;66.2
361.024;143.4;0.714667;96.9828;67.2
361.7386667;144.1;0.576;83.9552;61.6
362.3146667;144.2;0.618667;104.167;61.6
362.9333333;144.3;0.576;96.9828;62.4
363.5093333;144.4;0.618667;104.167;65.8
364.128;145.1;0.576;96.9828;59.8
364.704;145.2;0.661333;104.167;65.3
365.3653333;145.3;0.64;90.7258;65.3
366.0053333;145.4;0.618667;93.75;65.2
366.624;146.1;0.608;96.9828;64.6
367.232;146.2;0.608;98.6842;66.1
367.84;146.3;0.629333;98.6842;66
368.4693333;146.4;0.629333;95.339;64.2
369.0986667;147.1;0.586667;95.339;63.3
369.6853333;147.2;0.597333;102.273;64.9
370.2826667;147.3;0.672;100.446;63.3
370.9546667;147.4;0.608;89.2857;62.3
371.5626667;148.1;0.661333;98.6842;57.2
372.224;148.2;0.64;90.7258;61.3
372.864;148.3;0.650667;93.75;57.1
373.5146667;148.4;0.586667;92.2131;62.1
374.1013333;149.1;0.618667;102.273;59.8
374.72;149.2;0.571292;96.9828;64.4
375.2912917;149.3;0.623375;105.025;61.9
375.9146667;149.4;0.586667;96.2503;64.6
376.5013333;150.1;0.661333;102.273;63.8
377.1626667;150.2;0.672;90.7258;69.1
377.8346667;150.3;0.576;89.2857;65
378.4106667;150.4;0.576;104.167;67.4
378.9866667;151.1;0.597333;104.167;69.7
379.584;151.2;0.64;100.446;67.6
380.224;151.3;0.618667;93.75;62.1
380.8426667;151.4;0.554667;96.9828;66.7
381.3973333;152.1;0.618667;108.173;64.5
382.016;152.2;0.672;96.9828;69.8
382.688;152.3;0.672;89.2857;69.3
383.36;152.4;0.906667;89.2857;63.9
384.2666667;153.1;0.693333;66.1765;62.2
384.96;153.2;0.618667;86.5385;66.5
385.5786667;153.3;0.597333;96.9828;68.6
386.176;153.4;0.661333;100.446;66
386.8373333;154.1;0.672;90.7258;66.3
387.5093333;154.2;0.704;89.2857;63.3
388.2133333;154.3;0.672;85.2273;67.7
388.8853333;154.4;0.650667;89.2857;65
